MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,TEXT_CASE,UNIT_OLD,UNIT_NEW,CUKY_OLD,CUKY_NEW,VALUE_NEW,VALUE_OLD,_DATAAGING
083,VERKBELEG,1200000058,0002942753,VBAP,0831200000058000010,OIC_ADESTN,U,1,,,,,CAOEDM101,,
083,VERKBELEG,1200000058,0002942753,VBAP,0831200000058000010,OIC_DLAND1,U,1,,,,,CA,,
083,VERKBELEG,1200000058,0002942753,VBAP,0831200000058000010,OIC_DREGIO,U,1,,,,,AB,,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585005ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585005ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585005ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585006ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585006ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585006ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585007ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585007ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585007ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585008ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585008ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585008ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585009ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585009ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585009ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585010ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585010ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585010ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585011ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585011ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585011ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585012ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585012ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585012ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585013ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585013ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585013ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585014ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585014ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585014ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585015ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585015ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585015ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585016ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585016ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585016ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585017ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585017ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585017ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585018ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585018ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585018ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585019ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585019ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585019ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585020ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585020ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585020ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585021ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585021ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585021ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585022ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585022ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1200000058,0002942764,KONVC,000010585022ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1200000058,0002942764,VBAP,0831200000058000010,CMPRE_FLT,U,1,USD,USD,,,4.3395981818181821E+02,4.3395979999999997E+02,
083,VERKBELEG,1200000058,0002942764,VBEP,08312000000580000100001,WMENG,U,1,M15,M15,,,110.000,100.000,
083,VERKBELEG,1200000058,0002942764,VBEP,08312000000580000100002,BMENG,U,1,M15,M15,,,110.000,100.000,
083,VERKBELEG,1200000058,0003009015,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,39757.89,38317.53,
083,VERKBELEG,1200000058,0003101055,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,40091.25,39757.89,
083,VERKBELEG,1200000058,0003186806,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,42078.83,40091.25,
083,VERKBELEG,1200000058,0003233164,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,47173.58,42078.83,
083,VERKBELEG,1200000058,0003286932,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,50318.49,47173.58,
083,VERKBELEG,1200000058,0003286932,VBAK,0831200000058,CMGST,U,1,,,,,B,A,
083,VERKBELEG,1200000058,0003286932,VBAK,0831200000058,CMNUP,U,1,,,,,20260213,00000000,
083,VERKBELEG,1200000058,0003286932,VBAP,0831200000058000010,KTGRM,U,1,,,,,08,05,
083,VERKBELEG,1200000058,0003295211,KONVC,000010005001ZCMI,KBETR,U,1,,,US4,US4,46162.49,43395.98,
083,VERKBELEG,1200000058,0003295211,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,50947.47,50318.49,
083,VERKBELEG,1200000058,0003295211,VBAK,0831200000058,CMNUP,U,1,,,,,20260305,20260213,
083,VERKBELEG,1200000058,0003295211,VBAP,0831200000058000010,CMPRE,U,1,,,USD,USD,461.62,433.96,
083,VERKBELEG,1200000058,0003295211,VBAP,0831200000058000010,CMPRE_FLT,U,1,USD,USD,,,4.6162490909090911E+02,4.3395981818181821E+02,
083,VERKBELEG,1200000058,0003295211,VBAP,0831200000058000010,NETPR,U,1,,,USD,USD,461.62,433.96,
083,VERKBELEG,1200000058,0003322815,KONVC,000010005001ZCMI,KBETR,U,1,,,US4,US4,39232.69,46162.49,
083,VERKBELEG,1200000058,0003322815,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,50318.49,50947.47,
083,VERKBELEG,1200000058,0003322815,VBAK,0831200000058,CMNUP,U,1,,,,,20260329,20260305,
083,VERKBELEG,1200000058,0003322815,VBAP,0831200000058000010,CMPRE,U,1,,,USD,USD,392.33,461.62,
083,VERKBELEG,1200000058,0003322815,VBAP,0831200000058000010,CMPRE_FLT,U,1,USD,USD,,,3.9232690909090911E+02,4.6162490909090911E+02,
083,VERKBELEG,1200000058,0003322815,VBAP,0831200000058000010,NETPR,U,1,,,USD,USD,392.33,461.62,
083,VERKBELEG,1200000058,0003323675,VBAK,0831200000058,CMNUP,U,1,,,,,20260330,20260329,
083,VERKBELEG,1200000058,0003331362,KONVC,000010005001ZCMI,KBETR,U,1,,,US4,US4,39378.71,39232.69,
083,VERKBELEG,1200000058,0003331362,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,54721.35,50318.49,
083,VERKBELEG,1200000058,0003331362,VBAK,0831200000058,CMNUP,U,1,,,,,20260405,20260330,
083,VERKBELEG,1200000058,0003331362,VBAP,0831200000058000010,CMPRE,U,1,,,USD,USD,393.79,392.33,
083,VERKBELEG,1200000058,0003331362,VBAP,0831200000058000010,CMPRE_FLT,U,1,USD,USD,,,3.9378709090909092E+02,3.9232690909090911E+02,
083,VERKBELEG,1200000058,0003331362,VBAP,0831200000058000010,NETPR,U,1,,,USD,USD,393.79,392.33,
083,VERKBELEG,1200000058,0003335582,KONVC,000010005001ZCMI,KBETR,U,1,,,US4,US4,42492.97,39378.71,
083,VERKBELEG,1200000058,0003335582,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,55979.32,54721.35,
083,VERKBELEG,1200000058,0003335582,VBAK,0831200000058,CMNUP,U,1,,,,,20260411,20260405,
083,VERKBELEG,1200000058,0003335582,VBAP,0831200000058000010,CMPRE,U,1,,,USD,USD,424.93,393.79,
083,VERKBELEG,1200000058,0003335582,VBAP,0831200000058000010,CMPRE_FLT,U,1,USD,USD,,,4.2492972727272729E+02,3.9378709090909092E+02,
083,VERKBELEG,1200000058,0003335582,VBAP,0831200000058000010,NETPR,U,1,,,USD,USD,424.93,393.79,
083,VERKBELEG,1200000058,0003338756,KONVC,000010005001ZCMI,KBETR,U,1,,,US4,US4,42427.63,42492.97,
083,VERKBELEG,1200000058,0003338756,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,54721.35,55979.32,
083,VERKBELEG,1200000058,0003338756,VBAK,0831200000058,CMNUP,U,1,,,,,20260412,20260411,
083,VERKBELEG,1200000058,0003338756,VBAP,0831200000058000010,CMPRE,U,1,,,USD,USD,424.28,424.93,
083,VERKBELEG,1200000058,0003338756,VBAP,0831200000058000010,CMPRE_FLT,U,1,USD,USD,,,4.2427627272727273E+02,4.2492972727272729E+02,
083,VERKBELEG,1200000058,0003338756,VBAP,0831200000058000010,NETPR,U,1,,,USD,USD,424.28,424.93,
083,VERKBELEG,1200000058,0003340860,VBAK,0831200000058,CMNUP,U,1,,,,,20260413,20260412,
083,VERKBELEG,1200000058,0003341730,KONVC,000010005001ZCMI,KBETR,U,1,,,US4,US4,43395.98,42427.63,
083,VERKBELEG,1200000058,0003341730,VBAK,0831200000058,CMNUP,U,1,,,,,20260414,20260413,
083,VERKBELEG,1200000058,0003341730,VBAP,0831200000058000010,CMPRE,U,1,,,USD,USD,433.96,424.28,
083,VERKBELEG,1200000058,0003341730,VBAP,0831200000058000010,CMPRE_FLT,U,1,USD,USD,,,4.3395981818181821E+02,4.2427627272727273E+02,
083,VERKBELEG,1200000058,0003341730,VBAP,0831200000058000010,NETPR,U,1,,,USD,USD,433.96,424.28,
083,VERKBELEG,1200000058,0003350322,KONVC,000010005001ZCMI,KBETR,U,1,,,US4,US4,56069.17,43395.98,
083,VERKBELEG,1200000058,0003350322,KONVC,000010775001ZMP1,KBETR,U,1,,,US4,US4,55979.32,54721.35,
083,VERKBELEG,1200000058,0003350322,VBAK,0831200000058,CMNUP,U,1,,,,,20260428,20260414,
083,VERKBELEG,1200000058,0003350322,VBAP,0831200000058000010,CMPRE,U,1,,,USD,USD,560.69,433.96,
083,VERKBELEG,1200000058,0003350322,VBAP,0831200000058000010,CMPRE_FLT,U,1,USD,USD,,,5.6069172727272723E+02,4.3395981818181821E+02,
083,VERKBELEG,1200000058,0003350322,VBAP,0831200000058000010,NETPR,U,1,,,USD,USD,560.69,433.96,
083,VERKBELEG,1200000058,0003363957,KONVC,000010005001ZCMI,KBETR,U,1,,,US4,US4,47982.27,56069.17,
083,VERKBELEG,1200000058,0003363957,VBAK,0831200000058,CMGST,U,1,,,,,A,B,
083,VERKBELEG,1200000058,0003363957,VBAK,0831200000058,CMNUP,U,1,,,,,20260505,20260428,
083,VERKBELEG,1200000058,0003363957,VBAP,0831200000058000010,CMPRE,U,1,,,USD,USD,479.82,560.69,
083,VERKBELEG,1200000058,0003363957,VBAP,0831200000058000010,CMPRE_FLT,U,1,USD,USD,,,4.7982272727272726E+02,5.6069172727272723E+02,
083,VERKBELEG,1200000058,0003363957,VBAP,0831200000058000010,NETPR,U,1,,,USD,USD,479.82,560.69,
